"","cluster_id","sample_id","group_id"
"cell1","CD4 T cells","ctrl101.A","A"
"cell2","CD4 T cells","ctrl101.A","A"
"cell3","CD14+ Monocytes","ctrl101.A","A"
"cell4","CD4 T cells","ctrl101.A","A"
"cell5","CD14+ Monocytes","ctrl101.A","A"
"cell6","CD14+ Monocytes","ctrl101.A","A"
"cell7","CD4 T cells","ctrl107.A","A"
"cell8","CD4 T cells","ctrl101.A","A"
"cell9","CD14+ Monocytes","ctrl101.A","A"
"cell10","CD4 T cells","ctrl101.A","A"
"cell11","CD14+ Monocytes","ctrl101.A","A"
"cell12","CD4 T cells","ctrl101.A","A"
"cell13","CD14+ Monocytes","ctrl101.A","A"
"cell14","CD4 T cells","ctrl101.B","B"
"cell15","CD14+ Monocytes","ctrl101.A","A"
"cell16","CD4 T cells","ctrl101.A","A"
"cell17","CD14+ Monocytes","ctrl101.A","A"
"cell18","CD4 T cells","ctrl107.A","A"
"cell19","CD14+ Monocytes","ctrl101.A","A"
"cell20","CD4 T cells","ctrl101.A","A"
"cell21","CD14+ Monocytes","ctrl101.B","B"
"cell22","CD4 T cells","ctrl101.A","A"
"cell23","CD4 T cells","ctrl101.A","A"
"cell24","CD4 T cells","ctrl107.A","A"
"cell25","CD4 T cells","ctrl101.A","A"
"cell26","CD14+ Monocytes","ctrl101.A","A"
"cell27","CD4 T cells","ctrl101.B","B"
"cell28","CD4 T cells","ctrl101.A","A"
"cell29","CD14+ Monocytes","ctrl101.A","A"
"cell30","CD14+ Monocytes","ctrl101.A","A"
"cell31","CD14+ Monocytes","ctrl101.A","A"
"cell32","CD4 T cells","ctrl101.A","A"
"cell33","CD4 T cells","ctrl107.B","B"
"cell34","CD14+ Monocytes","ctrl101.A","A"
"cell35","CD4 T cells","ctrl101.A","A"
"cell36","CD14+ Monocytes","ctrl101.A","A"
"cell37","CD14+ Monocytes","ctrl101.A","A"
"cell38","CD14+ Monocytes","ctrl101.B","B"
"cell39","CD4 T cells","ctrl107.A","A"
"cell40","CD4 T cells","ctrl107.A","A"
"cell41","CD14+ Monocytes","ctrl101.A","A"
"cell42","CD14+ Monocytes","ctrl101.B","B"
"cell43","CD4 T cells","ctrl107.A","A"
"cell44","CD14+ Monocytes","ctrl101.A","A"
"cell45","CD14+ Monocytes","ctrl101.A","A"
"cell46","CD4 T cells","ctrl101.A","A"
"cell47","CD4 T cells","ctrl101.A","A"
"cell48","CD14+ Monocytes","ctrl107.A","A"
"cell49","CD14+ Monocytes","ctrl101.A","A"
"cell50","CD14+ Monocytes","ctrl101.A","A"
"cell51","CD4 T cells","ctrl101.A","A"
"cell52","CD14+ Monocytes","ctrl101.A","A"
"cell53","CD14+ Monocytes","ctrl101.A","A"
"cell54","CD14+ Monocytes","ctrl101.A","A"
"cell55","CD14+ Monocytes","ctrl101.A","A"
"cell56","CD14+ Monocytes","ctrl101.A","A"
"cell57","CD14+ Monocytes","ctrl101.B","B"
"cell58","CD14+ Monocytes","ctrl101.A","A"
"cell59","CD14+ Monocytes","ctrl101.A","A"
"cell60","CD14+ Monocytes","ctrl101.A","A"
"cell61","CD4 T cells","ctrl101.A","A"
"cell62","CD4 T cells","ctrl101.A","A"
"cell63","CD4 T cells","ctrl101.A","A"
"cell64","CD4 T cells","ctrl101.A","A"
"cell65","CD14+ Monocytes","ctrl101.A","A"
"cell66","CD14+ Monocytes","ctrl101.B","B"
"cell67","CD4 T cells","ctrl101.A","A"
"cell68","CD4 T cells","ctrl101.A","A"
"cell69","CD14+ Monocytes","ctrl101.A","A"
"cell70","CD4 T cells","ctrl101.A","A"
"cell71","CD4 T cells","ctrl101.A","A"
"cell72","CD14+ Monocytes","ctrl101.A","A"
"cell73","CD14+ Monocytes","ctrl101.A","A"
"cell74","CD14+ Monocytes","ctrl101.A","A"
"cell75","CD4 T cells","ctrl101.A","A"
"cell76","CD4 T cells","ctrl101.A","A"
"cell77","CD14+ Monocytes","ctrl101.B","B"
"cell78","CD4 T cells","ctrl101.A","A"
"cell79","CD4 T cells","ctrl101.A","A"
"cell80","CD4 T cells","ctrl101.A","A"
"cell81","CD14+ Monocytes","ctrl101.A","A"
"cell82","CD4 T cells","ctrl101.A","A"
"cell83","CD14+ Monocytes","ctrl101.A","A"
"cell84","CD14+ Monocytes","ctrl101.A","A"
"cell85","CD14+ Monocytes","ctrl101.B","B"
"cell86","CD4 T cells","ctrl101.B","B"
"cell87","CD14+ Monocytes","ctrl101.A","A"
"cell88","CD4 T cells","ctrl101.A","A"
"cell89","CD14+ Monocytes","ctrl101.A","A"
"cell90","CD14+ Monocytes","ctrl101.A","A"
"cell91","CD14+ Monocytes","ctrl101.A","A"
"cell92","CD14+ Monocytes","ctrl101.A","A"
"cell93","CD4 T cells","ctrl101.A","A"
"cell94","CD14+ Monocytes","ctrl101.A","A"
"cell95","CD14+ Monocytes","ctrl107.A","A"
"cell96","CD14+ Monocytes","ctrl101.A","A"
"cell97","CD14+ Monocytes","ctrl101.A","A"
"cell98","CD4 T cells","ctrl101.A","A"
"cell99","CD14+ Monocytes","ctrl101.A","A"
"cell100","CD4 T cells","ctrl101.A","A"
"cell101","CD14+ Monocytes","ctrl101.B","B"
"cell102","CD14+ Monocytes","ctrl101.A","A"
"cell103","CD4 T cells","ctrl101.A","A"
"cell104","CD14+ Monocytes","ctrl101.A","A"
"cell105","CD4 T cells","ctrl101.A","A"
"cell106","CD14+ Monocytes","ctrl101.A","A"
"cell107","CD14+ Monocytes","ctrl101.A","A"
"cell108","CD14+ Monocytes","ctrl101.A","A"
"cell109","CD4 T cells","ctrl101.A","A"
"cell110","CD4 T cells","ctrl101.B","B"
"cell111","CD4 T cells","ctrl101.A","A"
"cell112","CD4 T cells","ctrl101.A","A"
"cell113","CD14+ Monocytes","ctrl101.A","A"
"cell114","CD4 T cells","ctrl101.A","A"
"cell115","CD4 T cells","ctrl101.A","A"
"cell116","CD4 T cells","ctrl101.A","A"
"cell117","CD14+ Monocytes","ctrl101.A","A"
"cell118","CD4 T cells","ctrl107.A","A"
"cell119","CD14+ Monocytes","ctrl101.A","A"
"cell120","CD4 T cells","ctrl101.A","A"
"cell121","CD4 T cells","ctrl101.B","B"
"cell122","CD4 T cells","ctrl101.B","B"
"cell123","CD4 T cells","ctrl101.A","A"
"cell124","CD14+ Monocytes","ctrl101.A","A"
"cell125","CD4 T cells","ctrl101.A","A"
"cell126","CD14+ Monocytes","ctrl101.A","A"
"cell127","CD14+ Monocytes","ctrl101.A","A"
"cell128","CD14+ Monocytes","ctrl101.A","A"
"cell129","CD4 T cells","ctrl101.A","A"
"cell130","CD14+ Monocytes","ctrl107.A","A"
"cell131","CD4 T cells","ctrl101.B","B"
"cell132","CD14+ Monocytes","ctrl101.A","A"
"cell133","CD14+ Monocytes","ctrl101.A","A"
"cell134","CD4 T cells","ctrl101.B","B"
"cell135","CD4 T cells","ctrl101.A","A"
"cell136","CD4 T cells","ctrl107.A","A"
"cell137","CD14+ Monocytes","ctrl101.A","A"
"cell138","CD14+ Monocytes","ctrl107.B","B"
"cell139","CD14+ Monocytes","ctrl101.B","B"
"cell140","CD14+ Monocytes","ctrl101.A","A"
"cell141","CD4 T cells","ctrl101.A","A"
"cell142","CD14+ Monocytes","ctrl101.A","A"
"cell143","CD14+ Monocytes","ctrl101.A","A"
"cell144","CD4 T cells","ctrl101.A","A"
"cell145","CD14+ Monocytes","ctrl101.A","A"
"cell146","CD4 T cells","ctrl101.B","B"
"cell147","CD14+ Monocytes","ctrl101.A","A"
"cell148","CD4 T cells","ctrl101.A","A"
"cell149","CD4 T cells","ctrl101.A","A"
"cell150","CD14+ Monocytes","ctrl101.B","B"
"cell151","CD4 T cells","ctrl101.A","A"
"cell152","CD14+ Monocytes","ctrl101.A","A"
"cell153","CD4 T cells","ctrl101.A","A"
"cell154","CD14+ Monocytes","ctrl101.B","B"
"cell155","CD14+ Monocytes","ctrl107.A","A"
"cell156","CD4 T cells","ctrl101.A","A"
"cell157","CD14+ Monocytes","ctrl101.A","A"
"cell158","CD14+ Monocytes","ctrl101.A","A"
"cell159","CD14+ Monocytes","ctrl101.A","A"
"cell160","CD14+ Monocytes","ctrl101.B","B"
"cell161","CD4 T cells","ctrl101.B","B"
"cell162","CD4 T cells","ctrl101.A","A"
"cell163","CD14+ Monocytes","ctrl101.A","A"
"cell164","CD14+ Monocytes","ctrl107.A","A"
"cell165","CD4 T cells","ctrl101.A","A"
"cell166","CD14+ Monocytes","ctrl101.A","A"
"cell167","CD14+ Monocytes","ctrl101.A","A"
"cell168","CD14+ Monocytes","ctrl101.A","A"
"cell169","CD4 T cells","ctrl101.B","B"
"cell170","CD4 T cells","ctrl107.A","A"
"cell171","CD4 T cells","ctrl101.A","A"
"cell172","CD14+ Monocytes","ctrl101.A","A"
"cell173","CD14+ Monocytes","ctrl101.A","A"
"cell174","CD14+ Monocytes","ctrl107.A","A"
"cell175","CD14+ Monocytes","ctrl101.A","A"
"cell176","CD14+ Monocytes","ctrl101.B","B"
